update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
153,6,home,mask_home,bob,joke_deflect,tolerated,0.8231,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
154,6,conference,mask_conference,carol,joke_deflect,tolerated,0.0156,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
155,6,conference,mask_conference,dave,drop_everything,rejected,-3.3686,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
156,6,conference,mask_conference,bob,quick_tip,rejected,-0.7772,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
157,6,conference,mask_conference,carol,drop_everything,rejected,-2.4276,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
158,6,conference,mask_conference,dave,teach,tolerated,-0.9636,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
159,6,conference,mask_conference,bob,drop_everything,rejected,-1.0052,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
160,6,conference,mask_conference,carol,pair_up,accepted,2.6444,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
161,6,conference,mask_conference,dave,drop_everything,rejected,-3.4263,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
162,6,conference,mask_conference,bob,drop_everything,rejected,-1.0052,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
163,7,work,mask_work,carol,teach,accepted,4.1328,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
164,7,work,mask_work,dave,joke_deflect,rejected,-0.6646,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
