episode,agent,context,formal,casual,enthusiastic,quiet,entropy
13000,bob,home,0.0002,0.9986,0.0001,0.0011,0.0081
13000,bob,concert,0.0001,0.0003,0.9995,0.0001,0.0036
13000,bob,default,0.0019,0.9710,0.0252,0.0019,0.1046
13000,carol,work,0.9969,0.0029,0.0001,0.0001,0.0160
13000,carol,home,0.0001,0.9992,0.0006,0.0001,0.0053
13000,carol,concert,0.0001,0.0004,0.9994,0.0001,0.0040
13000,carol,default,0.0018,0.9579,0.0385,0.0018,0.1367
13000,dave,work,0.9973,0.0025,0.0001,0.0001,0.0144
13000,dave,home,0.0001,0.9992,0.0006,0.0001,0.0053
13000,dave,concert,0.0001,0.0004,0.9994,0.0001,0.0040
13000,dave,default,0.0019,0.9585,0.0378,0.0019,0.1353
